Reservation,Date,Time,Courts,Ball Machine,Players
Advanced Open Play,"Wed, Dec 24th",6p - 8p,"Court #5, Court #6 Pickleball or Backyard Games",,0
Adv Beginner Open Play,"Wed, Dec 24th",6p - 8p,Court #9,,0
Private Groups,"Wed, Dec 24th",7p - 9p,"Court #2, Court #3, Court #4",,0
Adv Beginner Open Play,"Wed, Dec 24th",7p - 9p,Court #7,,0
Intermediate Open Play,"Wed, Dec 24th",7p - 9p,Court #8,,0
Private Groups,"Wed, Dec 24th",7p - 9p,"Court #10, Court #11, Court #12, Court #13, Court #14, Court #15",,3
Advanced Open Play,"Wed, Dec 24th",8p - 10p,"Court #5, Court #6 Pickleball or Backyard Games",,0
Badminton Reservation ,"Wed, Dec 24th",9p - 11p,Court #16 (Championship) ,,1
Advanced Open Play,"Wed, Dec 24th",10p - 12a,"Court #5, Court #6 Pickleball or Backyard Games",,0
Adv Beginner Open Play,"Wed, Dec 24th",10p - 12a,Court #11,,0
Intermediate Open Play,"Wed, Dec 24th",10p - 12a,Court #12,,0
Adv Intermediate Open Play,"Wed, Dec 24th",10p - 12a,"Court #14, Court #15",,0
Advanced Open Play,"Thu, Dec 25th",6a - 8a,Championship Court #1,,0
Adv Beginner Open Play,"Thu, Dec 25th",6a - 8a,Court #7,,0
Adv Intermediate Open Play,"Thu, Dec 25th",6a - 8a,Court #10,,0
Intermediate Open Play,"Thu, Dec 25th",6a - 8a,Court #11,,0
Private Groups,"Thu, Dec 25th",8a - 10a,"Court #6 Pickleball or Backyard Games, Court #7",,0
Intermediate Open Play,"Thu, Dec 25th",8a - 10a,Court #11,,0
Adv Beginner Open Play,"Thu, Dec 25th",8a - 10a,Court #16 (Championship) ,,0
Private Groups,"Thu, Dec 25th",9a - 11a,"Court #8, Court #9",,0
Private Groups,"Thu, Dec 25th",10a - 12p,"Court #2, Court #3, Court #4, Court #5, Court #10, Court #11, Court #12, Court #13, Court #14, Court #15, Court #16 (Championship) ",,0
Advanced Open Play,"Thu, Dec 25th",11a - 1p,"Court #6 Pickleball or Backyard Games, Court #7",,0
Adv Intermediate Open Play,"Thu, Dec 25th",12p - 2p,Court #4,,0
Private Groups,"Thu, Dec 25th",12p - 2p,"Court #10, Court #11, Court #12, Court #13, Court #14",,0
Advanced Open Play,"Thu, Dec 25th",2p - 4p,"Court #2, Court #3",,0
Adv Intermediate Open Play,"Thu, Dec 25th",2p - 4p,Court #4,,0
Advanced Open Play,"Thu, Dec 25th",4p - 6p,"Court #4, Court #5",,0
Adv Beginner Open Play,"Thu, Dec 25th",4p - 6p,Court #11,,0
Intermediate Open Play,"Thu, Dec 25th",4p - 6p,Court #12,,0
Adv Intermediate Open Play,"Thu, Dec 25th",4p - 6p,"Court #13, Court #14",,0
Advanced Open Play,"Thu, Dec 25th",6p - 8p,"Court #4, Court #5",,0
Cornhole Event ,"Thu, Dec 25th",6p - 11p,"Court #6 Pickleball or Backyard Games, Court #7",,0
Private Groups,"Thu, Dec 25th",6p - 8p,Court #10,,6
Adv Beginner Open Play,"Thu, Dec 25th",6p - 8p,Court #11,,0
Adv Intermediate Open Play,"Thu, Dec 25th",6p - 8p,"Court #13, Court #14",,0
Semi-Seasonal,"Thu, Dec 25th",6:30p - 8:30p,"Court #15, Court #16 (Championship) ",,1
Advanced Open Play,"Thu, Dec 25th",8p - 10p,"Court #4, Court #5",,0
Badminton Reservation ,"Thu, Dec 25th",9p - 11p,Court #16 (Championship) ,,1
Advanced Open Play,"Thu, Dec 25th",10p - 12a,"Court #4, Court #5",,0
Adv Beginner Open Play,"Thu, Dec 25th",10p - 12a,Court #11,,0
Intermediate Open Play,"Thu, Dec 25th",10p - 12a,Court #12,,0
Adv Intermediate Open Play,"Thu, Dec 25th",10p - 12a,"Court #14, Court #15",,0
Advanced Open Play,"Fri, Dec 26th",6a - 8a,Championship Court #1,,0
Adv Beginner Open Play,"Fri, Dec 26th",6a - 8a,Court #7,,0
Adv Intermediate Open Play,"Fri, Dec 26th",6a - 8a,Court #10,,0
Intermediate Open Play,"Fri, Dec 26th",6a - 8a,Court #12,,0
Private Groups,"Fri, Dec 26th",8a - 10a,"Championship Court #1, Court #10, Court #11",,2
Private Groups,"Fri, Dec 26th",8a - 10a,"Court #6 Pickleball or Backyard Games, Court #7",,0
Private Groups,"Fri, Dec 26th",8a - 10a,Court #9,,5
Intermediate Open Play,"Fri, Dec 26th",8a - 10a,Court #12,,0
Adv Intermediate Open Play,"Fri, Dec 26th",8a - 10a,"Court #14, Court #15",,0
Adv Beginner Open Play,"Fri, Dec 26th",8a - 10a,Court #16 (Championship) ,,0
Private Groups,"Fri, Dec 26th",9a - 11a,Court #13,,0
Private Groups,"Fri, Dec 26th",10a - 12p,"Court #2, Court #3, Court #4, Court #5",,0
Private Groups,"Fri, Dec 26th",10a - 12p,"Court #6 Pickleball or Backyard Games, Court #7, Court #8",,0
Advanced Open Play,"Fri, Dec 26th",11a - 1p,"Court #10, Court #11",,0
Adv Beginner Open Play,"Fri, Dec 26th",12p - 2p,"Court #2, Court #3",,0
Adv Intermediate Open Play,"Fri, Dec 26th",12p - 2p,Court #4,,0
Intermediate Open Play,"Fri, Dec 26th",12p - 2p,Court #12,,0
Advanced Open Play,"Fri, Dec 26th",2p - 4p,"Court #2, Court #3",,0
Adv Intermediate Open Play,"Fri, Dec 26th",2p - 4p,Court #4,,0
Adv Beginner Open Play,"Fri, Dec 26th",2p - 4p,Court #10,,0
Intermediate Open Play,"Fri, Dec 26th",2p - 4p,Court #12,,0
Advanced Open Play,"Fri, Dec 26th",4p - 6p,"Court #4, Court #5",,0
Adv Beginner Open Play,"Fri, Dec 26th",4p - 6p,Court #11,,0
Intermediate Open Play,"Fri, Dec 26th",4p - 6p,Court #12,,0
Adv Intermediate Open Play,"Fri, Dec 26th",4p - 6p,"Court #14, Court #15",,0
Advanced Open Play,"Fri, Dec 26th",6p - 8p,"Court #4, Court #5",,0
Adv Beginner Open Play,"Fri, Dec 26th",6p - 8p,Court #11,,0
Adv Intermediate Open Play,"Fri, Dec 26th",6p - 8p,"Court #14, Court #15",,0
Private Groups,"Fri, Dec 26th",7p - 9p,"Court #6 Pickleball or Backyard Games, Court #7, Court #8, Court #9",,0
Adv Beginner Open Play,"Fri, Dec 26th",7p - 9p,Court #11,,0
Intermediate Open Play,"Fri, Dec 26th",7p - 9p,Court #13,,0
Adv Intermediate Open Play,"Fri, Dec 26th",7p - 9p,Court #15,,0
Advanced Open Play,"Fri, Dec 26th",8p - 10p,"Court #4, Court #5",,0
Intermediate Open Play,"Fri, Dec 26th",9p - 11p,"Court #14, Court #15",,0
Advanced Open Play,"Fri, Dec 26th",10p - 12a,"Court #4, Court #5",,0
Adv Beginner Open Play,"Fri, Dec 26th",10p - 12a,Court #11,,0
Intermediate Open Play,"Fri, Dec 26th",10p - 12a,Court #12,,0
Adv Intermediate Open Play,"Fri, Dec 26th",10p - 12a,"Court #14, Court #15",,0
Private Groups,"Sat, Dec 27th",8a - 10a,"Court #2, Court #3",,0
Private Groups,"Sat, Dec 27th",8a - 10a,"Court #6 Pickleball or Backyard Games, Court #7, Court #8, Court #9",,26
Court Reservation,"Sat, Dec 27th",8a - 10a,Court #10,,1
Advanced Open Play,"Sat, Dec 27th",8a - 10a,"Court #11, Court #12, Court #13",,0
Court Reservation,"Sat, Dec 27th",9a - 12p,Championship Court #1,,1
Intermediate Open Play,"Sat, Dec 27th",9a - 11a,Court #4,,1
Private Groups,"Sat, Dec 27th",9a - 11a,"Court #5, Court #14, Court #15, Court #16 (Championship) ",,1
Adult Clinic,"Sat, Dec 27th",11a - 1p,Court #2,,0
Tournament (Competitive) ,"Sat, Dec 27th",11a - 6p,"Court #8, Court #9, Court #10, Court #11, Court #12, Court #13, Court #14, Court #15, Court #16 (Championship) ",,0
ADULT Birthday Party Package! ,"Sat, Dec 27th",3p - 6p,"Court #2, Court #3, Court #4, Court #5",,1
Private Groups,"Sat, Dec 27th",7p - 12a,"Championship Court #1, Court #2, Court #3, Court #4, Court #5, Court #6 Pickleball or Backyard Games, Court #7, Court #8, Court #9, Court #10, Court #11, Court #12, Court #13, Court #14, Court #15, Court #16 (Championship) ",,5
Court Reservation,"Sat, Dec 27th",9p - 12a,"Championship Court #1, Court #2, Court #3, Court #6 Pickleball or Backyard Games, Court #7, Court #8, Court #9, Court #10, Court #11, Court #12, Court #13",,1
The Academy,"Sun, Dec 28th",8a - 10a,"Championship Court #1, Court #10, Court #11, Court #12, Court #13, Court #14, Court #15, Court #16 (Championship) ",,0
Private Groups,"Sun, Dec 28th",8a - 10a,"Court #2, Court #3",,0
Intermediate Open Play,"Sun, Dec 28th",8a - 10a,Court #6 Pickleball or Backyard Games,,0
Semi-Seasonal,"Sun, Dec 28th",8a - 10a,"Court #8, Court #9",,1
The Academy,"Sun, Dec 28th",10a - 12p,"Championship Court #1, Court #10, Court #11, Court #12, Court #13, Court #14, Court #15",,1
Private Groups,"Sun, Dec 28th",10a - 12p,"Court #8, Court #9",,0
Seasonal Court Reservation ,"Sun, Dec 28th",10a - 11:30a,Court #16 (Championship) ,,1
Adv Intermediate Open Play,"Sun, Dec 28th",12p - 2p,"Court #2, Court #3",,0
Private Groups,"Sun, Dec 28th",12p - 2p,"Court #8, Court #9",,0
Advanced Open Play,"Sun, Dec 28th",4p - 6p,"Court #4, Court #5",,0
Adv Beginner Open Play,"Sun, Dec 28th",4p - 6p,Court #11,,0
Intermediate Open Play,"Sun, Dec 28th",4p - 6p,Court #12,,0
Adv Intermediate Open Play,"Sun, Dec 28th",4p - 6p,"Court #14, Court #15",,0
Advanced Open Play,"Sun, Dec 28th",6p - 8p,"Court #4, Court #5",,0
Adv Beginner Open Play,"Sun, Dec 28th",6p - 8p,Court #11,,0
Adv Intermediate Open Play,"Sun, Dec 28th",6p - 8p,"Court #14, Court #15",,0
Advanced Open Play,"Sun, Dec 28th",8p - 10p,"Court #4, Court #5",,0
Advanced Open Play,"Sun, Dec 28th",10p - 12a,"Court #4, Court #5",,0
Adv Beginner Open Play,"Sun, Dec 28th",10p - 12a,Court #11,,0
Intermediate Open Play,"Sun, Dec 28th",10p - 12a,Court #12,,0
Adv Intermediate Open Play,"Sun, Dec 28th",10p - 12a,"Court #14, Court #15",,0
Advanced Open Play,"Mon, Dec 29th",6a - 8a,Championship Court #1,,0
Adv Beginner Open Play,"Mon, Dec 29th",6a - 8a,Court #7,,0
Adv Intermediate Open Play,"Mon, Dec 29th",6a - 8a,Court #10,,0
Intermediate Open Play,"Mon, Dec 29th",6a - 8a,Court #11,,0
Private Groups,"Mon, Dec 29th",8a - 10a,"Championship Court #1, Court #10, Court #11",,2
Private Groups,"Mon, Dec 29th",8a - 10a,Court #9,,5
Intermediate Open Play,"Mon, Dec 29th",8a - 10a,Court #11,,0
Adv Beginner Open Play,"Mon, Dec 29th",8a - 10a,Court #16 (Championship) ,,0
Private Groups,"Mon, Dec 29th",9a - 11a,"Court #2, Court #3, Court #4, Court #5, Court #6 Pickleball or Backyard Games",,0
Private Groups,"Mon, Dec 29th",10a - 12p,"Court #3, Court #4",,0
Private Groups,"Mon, Dec 29th",10a - 12p,"Court #5, Court #6 Pickleball or Backyard Games",,0
Adv Beginner Open Play,"Mon, Dec 29th",10a - 12p,Court #10,,0
Intermediate Open Play,"Mon, Dec 29th",10a - 12p,"Court #12, Court #13",,0
Advanced Open Play,"Mon, Dec 29th",11a - 1p,"Court #2, Court #3",,0
Adv Beginner Open Play,"Mon, Dec 29th",12p - 2p,"Court #2, Court #3",,0
Adv Intermediate Open Play,"Mon, Dec 29th",12p - 2p,Court #4,,0
Advanced Open Play,"Mon, Dec 29th",2p - 4p,"Court #2, Court #3",,0
Adv Intermediate Open Play,"Mon, Dec 29th",2p - 4p,Court #4,,0
Adv Beginner Open Play,"Mon, Dec 29th",2p - 4p,Court #10,,0
Intermediate Open Play,"Mon, Dec 29th",2p - 4p,Court #12,,0
Advanced Open Play,"Mon, Dec 29th",4p - 6p,"Court #4, Court #5",,0
Adv Beginner Open Play,"Mon, Dec 29th",4p - 6p,Court #11,,0
Intermediate Open Play,"Mon, Dec 29th",4p - 6p,Court #12,,0
Adv Intermediate Open Play,"Mon, Dec 29th",4p - 6p,"Court #14, Court #15",,0
Advanced Open Play,"Mon, Dec 29th",6p - 8p,"Court #4, Court #5",,0
Semi-Seasonal,"Mon, Dec 29th",6p - 8p,Court #10,,1
Adv Beginner Open Play,"Mon, Dec 29th",6p - 8p,Court #11,,0
Adv Intermediate Open Play,"Mon, Dec 29th",6p - 8p,"Court #14, Court #15",,0
Adult Clinic,"Mon, Dec 29th",6p - 8p,Court #16 (Championship) ,,0
Private Groups,"Mon, Dec 29th",7p - 9p,"Court #2, Court #3, Court #4",,0
Private Groups,"Mon, Dec 29th",7p - 9p,"Court #6 Pickleball or Backyard Games, Court #7, Court #8, Court #9",,0
Advanced Open Play,"Mon, Dec 29th",8p - 10p,"Court #4, Court #5",,0
Adv Intermediate Open Play,"Mon, Dec 29th",9p - 11p,Court #7,,0
Advanced Open Play,"Mon, Dec 29th",9p - 11p,Court #8,,0
Badminton Reservation ,"Mon, Dec 29th",9p - 11p,Court #16 (Championship) ,,1
Advanced Open Play,"Mon, Dec 29th",10p - 12a,"Court #4, Court #5",,0
Adv Beginner Open Play,"Mon, Dec 29th",10p - 12a,Court #11,,0
Intermediate Open Play,"Mon, Dec 29th",10p - 12a,Court #12,,0
Adv Intermediate Open Play,"Mon, Dec 29th",10p - 12a,"Court #14, Court #15",,0
Advanced Open Play,"Tue, Dec 30th",6a - 8a,Championship Court #1,,0
Adv Intermediate Open Play,"Tue, Dec 30th",6a - 8a,Court #2,,0
Intermediate Open Play,"Tue, Dec 30th",6a - 8a,Court #3,,0
Adv Beginner Open Play,"Tue, Dec 30th",6a - 8a,Court #7,,0
Private Groups,"Tue, Dec 30th",8a - 10a,Championship Court #1,,0
Adv Intermediate Open Play,"Tue, Dec 30th",8a - 10a,"Court #2, Court #3",,0
Advanced Open Play,"Tue, Dec 30th",8a - 10a,Court #4,,0
Adv Beginner Open Play,"Tue, Dec 30th",8a - 10a,Court #7,,0
Seasonal Court Reservation ,"Tue, Dec 30th",8a - 10a,Court #9,,3
Private Groups,"Tue, Dec 30th",8a - 10a,"Court #10, Court #11, Court #12",,0
Intermediate Open Play,"Tue, Dec 30th",8a - 10a,Court #11,,0
Private Groups,"Tue, Dec 30th",9a - 11a,Court #13,,5
Seasonal Court Reservation ,"Tue, Dec 30th",9a - 11a,"Court #14, Court #15, Court #16 (Championship) ",,14
Private Groups,"Tue, Dec 30th",10a - 12p,"Championship Court #1, Court #2, Court #3, Court #4, Court #5, Court #6 Pickleball or Backyard Games, Court #7, Court #8, Court #9, Court #10, Court #11, Court #12",,0
Intermediate Open Play,"Tue, Dec 30th",12p - 2p,Championship Court #1,,0
Advanced Open Play,"Tue, Dec 30th",2p - 4p,"Court #2, Court #3",,0
Adv Intermediate Open Play,"Tue, Dec 30th",2p - 4p,Court #4,,0
Advanced Open Play,"Tue, Dec 30th",4p - 6p,"Court #4, Court #5",,0
Adv Beginner Open Play,"Tue, Dec 30th",4p - 6p,Court #11,,0
Intermediate Open Play,"Tue, Dec 30th",4p - 6p,Court #12,,0
Private Groups,"Tue, Dec 30th",4p - 6p,Court #13,,0
Adv Intermediate Open Play,"Tue, Dec 30th",4p - 6p,"Court #14, Court #15",,0
Private Groups,"Tue, Dec 30th",5p - 6:30p,"Court #8, Court #9",,1
Semi-Seasonal,"Tue, Dec 30th",5p - 7p,Court #16 (Championship) ,,1
Adv Intermediate Open Play,"Tue, Dec 30th",6p - 8p,Court #2,,0
Private Groups,"Tue, Dec 30th",6p - 8p,"Court #3, Court #4",,12
Advanced Open Play,"Tue, Dec 30th",6p - 8p,Court #5,,0
Cornhole Event ,"Tue, Dec 30th",6p - 11p,"Court #6 Pickleball or Backyard Games, Court #7",,0
Adv Beginner Open Play,"Tue, Dec 30th",6p - 8p,Court #11,,0
Adv Intermediate Open Play,"Tue, Dec 30th",6p - 8p,"Court #14, Court #15",,0
Seasonal Court Reservation ,"Tue, Dec 30th",7p - 9p,Championship Court #1,,4
Court Reservation,"Tue, Dec 30th",7p - 9p,Court #12,,1
Private Groups,"Tue, Dec 30th",7p - 9p,Court #13,,0
Advanced Open Play,"Tue, Dec 30th",8p - 10p,"Court #4, Court #5",,0
The Academy,"Tue, Dec 30th",8p - 11p,"Court #8, Court #9",,0
Badminton Reservation ,"Tue, Dec 30th",9p - 11p,Court #16 (Championship) ,,1
Advanced Open Play,"Tue, Dec 30th",10p - 12a,"Court #4, Court #5",,0
Adv Beginner Open Play,"Tue, Dec 30th",10p - 12a,Court #11,,0
Intermediate Open Play,"Tue, Dec 30th",10p - 12a,Court #12,,0
Adv Intermediate Open Play,"Tue, Dec 30th",10p - 12a,"Court #14, Court #15",,0
Advanced Open Play,"Wed, Dec 31st",6a - 8a,Championship Court #1,,0
Adv Beginner Open Play,"Wed, Dec 31st",6a - 8a,Court #7,,0
Adv Intermediate Open Play,"Wed, Dec 31st",6a - 8a,Court #10,,0
Intermediate Open Play,"Wed, Dec 31st",6a - 8a,Court #11,,0
Private Groups,"Wed, Dec 31st",8a - 10a,"Championship Court #1, Court #10, Court #11",,2
Private Groups,"Wed, Dec 31st",8a - 10a,Court #9,,5
Intermediate Open Play,"Wed, Dec 31st",8a - 10a,Court #11,,0
Adv Intermediate Open Play,"Wed, Dec 31st",8a - 10a,"Court #13, Court #14",,0
Private Groups,"Wed, Dec 31st",8a - 10a,"Court #15, Court #16 (Championship) ",,0
Adv Beginner Open Play,"Wed, Dec 31st",8a - 10a,Court #16 (Championship) ,,0
Seasonal Court Reservation ,"Wed, Dec 31st",9a - 11a,"Court #8, Court #9",,0
Seasonal Court Reservation ,"Wed, Dec 31st",10a - 12p,Court #16 (Championship) ,,7
Advanced Open Play,"Wed, Dec 31st",11a - 1p,"Court #2, Court #3",,0
Adv Beginner Open Play,"Wed, Dec 31st",12p - 2p,"Court #2, Court #3",,0
Adv Intermediate Open Play,"Wed, Dec 31st",12p - 2p,Court #4,,0
Private Groups,"Wed, Dec 31st",12p - 2p,"Court #12, Court #13, Court #14, Court #15",,0
Advanced Open Play,"Wed, Dec 31st",2p - 4p,"Court #2, Court #3",,0
Adv Intermediate Open Play,"Wed, Dec 31st",2p - 4p,Court #4,,0
Intermediate Open Play,"Wed, Dec 31st",2p - 4p,Court #12,,0
Advanced Open Play,"Wed, Dec 31st",4p - 6p,"Court #4, Court #5",,0
Adv Beginner Open Play,"Wed, Dec 31st",4p - 6p,Court #11,,0
Intermediate Open Play,"Wed, Dec 31st",4p - 6p,Court #12,,0
Adv Intermediate Open Play,"Wed, Dec 31st",4p - 6p,"Court #14, Court #15",,0
Seasonal Court Reservation ,"Wed, Dec 31st",5p - 7p,Court #16 (Championship) ,,1
Adv Intermediate Open Play,"Wed, Dec 31st",6p - 8p,Championship Court #1,,0
Advanced Open Play,"Wed, Dec 31st",6p - 8p,"Court #4, Court #5",,0
Adv Beginner Open Play,"Wed, Dec 31st",6p - 8p,Court #11,,0
Adv Intermediate Open Play,"Wed, Dec 31st",6p - 8p,"Court #14, Court #15",,0
Adv Beginner Open Play,"Wed, Dec 31st",7p - 9p,Court #2,,0
Private Groups,"Wed, Dec 31st",7p - 9p,"Court #2, Court #3, Court #4",,0
Intermediate Open Play,"Wed, Dec 31st",7p - 9p,Court #3,,0
Private Groups,"Wed, Dec 31st",7p - 9p,"Court #10, Court #11, Court #12, Court #13, Court #14, Court #15",,3
Advanced Open Play,"Wed, Dec 31st",8p - 10p,"Court #4, Court #5",,0
Badminton Reservation ,"Wed, Dec 31st",9p - 11p,Court #16 (Championship) ,,1
Advanced Open Play,"Wed, Dec 31st",10p - 12a,"Court #4, Court #5",,0
Adv Beginner Open Play,"Wed, Dec 31st",10p - 12a,Court #11,,0
Intermediate Open Play,"Wed, Dec 31st",10p - 12a,Court #12,,0
Adv Intermediate Open Play,"Wed, Dec 31st",10p - 12a,"Court #14, Court #15",,0
